time,JNCX
0.000000000000000000e+00,-4.929882008582353592e-03
1.000000000000000000e+00,-4.994451068341732025e-03
2.000000000000000000e+00,-5.055774003267288208e-03
3.000000000000000000e+00,-5.114371422678232193e-03
4.000000000000000000e+00,-5.170616321265697479e-03
5.000000000000000000e+00,-5.224834661930799484e-03
6.000000000000000000e+00,-5.277286283671855927e-03
7.000000000000000000e+00,-5.328189581632614136e-03
8.000000000000000000e+00,-5.377728492021560669e-03
9.000000000000000000e+00,-5.426054820418357849e-03
1.000000000000000000e+01,-5.473281722515821457e-03
1.100000000000000000e+01,6.598623935133218765e-03
1.200000000000000000e+01,1.012810319662094116e-01
1.300000000000000000e+01,9.624196588993072510e-02
1.400000000000000000e+01,8.679574728012084961e-02
1.500000000000000000e+01,7.739157974720001221e-02
1.600000000000000000e+01,6.983671337366104126e-02
1.700000000000000000e+01,6.429792940616607666e-02
1.800000000000000000e+01,6.051583588123321533e-02
1.900000000000000000e+01,5.834634229540824890e-02
2.000000000000000000e+01,5.692091956734657288e-02
2.100000000000000000e+01,5.591268092393875122e-02
2.200000000000000000e+01,5.517132952809333801e-02
2.300000000000000000e+01,5.437867343425750732e-02
2.400000000000000000e+01,5.442765727639198303e-02
2.500000000000000000e+01,5.438306927680969238e-02
2.600000000000000000e+01,5.437983572483062744e-02
2.700000000000000000e+01,5.427662655711174011e-02
2.800000000000000000e+01,5.440470203757286072e-02
2.900000000000000000e+01,5.462218448519706726e-02
3.000000000000000000e+01,5.525096133351325989e-02
3.100000000000000000e+01,5.554268881678581238e-02
3.200000000000000000e+01,5.587406083941459656e-02
3.300000000000000000e+01,5.615421384572982788e-02
3.400000000000000000e+01,5.662399902939796448e-02
3.500000000000000000e+01,5.726294219493865967e-02
3.600000000000000000e+01,5.814134329557418823e-02
3.700000000000000000e+01,5.939774960279464722e-02
3.800000000000000000e+01,6.072670221328735352e-02
3.900000000000000000e+01,6.164324656128883362e-02
4.000000000000000000e+01,6.261328607797622681e-02
4.100000000000000000e+01,6.366857886314392090e-02
4.200000000000000000e+01,6.494054198265075684e-02
4.300000000000000000e+01,6.645105779170989990e-02
4.400000000000000000e+01,6.743250042200088501e-02
4.500000000000000000e+01,6.825903058052062988e-02
4.600000000000000000e+01,6.897981464862823486e-02
4.700000000000000000e+01,7.056074589490890503e-02
4.800000000000000000e+01,7.158232480287551880e-02
4.900000000000000000e+01,7.249423116445541382e-02
5.000000000000000000e+01,7.339395582675933838e-02
5.100000000000000000e+01,7.420214265584945679e-02
5.200000000000000000e+01,7.521136105060577393e-02
5.300000000000000000e+01,7.624496519565582275e-02
5.400000000000000000e+01,7.684601843357086182e-02
5.500000000000000000e+01,7.755807787179946899e-02
5.600000000000000000e+01,7.829960435628890991e-02
5.700000000000000000e+01,7.865142822265625000e-02
5.800000000000000000e+01,7.907892763614654541e-02
5.900000000000000000e+01,7.966276258230209351e-02
6.000000000000000000e+01,8.011237531900405884e-02
6.100000000000000000e+01,8.069123327732086182e-02
6.200000000000000000e+01,8.088948577642440796e-02
6.300000000000000000e+01,8.148326724767684937e-02
6.400000000000000000e+01,8.189583569765090942e-02
6.500000000000000000e+01,8.233478665351867676e-02
6.600000000000000000e+01,8.285566419363021851e-02
6.700000000000000000e+01,8.289071172475814819e-02
6.800000000000000000e+01,8.269587159156799316e-02
6.900000000000000000e+01,8.281207829713821411e-02
7.000000000000000000e+01,8.306270837783813477e-02
7.100000000000000000e+01,8.303289115428924561e-02
7.200000000000000000e+01,8.300665766000747681e-02
7.300000000000000000e+01,8.278100192546844482e-02
7.400000000000000000e+01,8.247732371091842651e-02
7.500000000000000000e+01,8.229352533817291260e-02
7.600000000000000000e+01,8.238224685192108154e-02
7.700000000000000000e+01,8.263451606035232544e-02
7.800000000000000000e+01,8.264528214931488037e-02
7.900000000000000000e+01,8.260218054056167603e-02
8.000000000000000000e+01,8.246756345033645630e-02
8.100000000000000000e+01,8.234407752752304077e-02
8.200000000000000000e+01,8.231875300407409668e-02
8.300000000000000000e+01,8.234041929244995117e-02
8.400000000000000000e+01,8.225996792316436768e-02
8.500000000000000000e+01,8.191780000925064087e-02
8.600000000000000000e+01,8.217285573482513428e-02
8.700000000000000000e+01,8.181660622358322144e-02
8.800000000000000000e+01,8.176890015602111816e-02
8.900000000000000000e+01,8.155783265829086304e-02
9.000000000000000000e+01,8.161510527133941650e-02
9.100000000000000000e+01,8.160846680402755737e-02
9.200000000000000000e+01,8.135290443897247314e-02
9.300000000000000000e+01,8.107291907072067261e-02
9.400000000000000000e+01,8.087522536516189575e-02
9.500000000000000000e+01,8.099383115768432617e-02
9.600000000000000000e+01,8.063143491744995117e-02
9.700000000000000000e+01,8.074872195720672607e-02
9.800000000000000000e+01,8.073991537094116211e-02
9.900000000000000000e+01,8.077596873044967651e-02
1.000000000000000000e+02,8.058473467826843262e-02
1.010000000000000000e+02,8.048712462186813354e-02
