time,ci
0.000000000000000000e+00,1.000028923153877258e-01
1.000000000000000000e+00,1.002899184823036194e-01
2.000000000000000000e+00,1.005720496177673340e-01
3.000000000000000000e+00,1.008494347333908081e-01
4.000000000000000000e+00,1.011221855878829956e-01
5.000000000000000000e+00,1.013904735445976257e-01
6.000000000000000000e+00,1.016544252634048462e-01
7.000000000000000000e+00,1.019140779972076416e-01
8.000000000000000000e+00,1.021695956587791443e-01
9.000000000000000000e+00,1.024210155010223389e-01
1.000000000000000000e+01,1.026684194803237915e-01
1.100000000000000000e+01,1.032216548919677734e-01
1.200000000000000000e+01,1.075692474842071533e-01
1.300000000000000000e+01,1.146927028894424438e-01
1.400000000000000000e+01,1.214570775628089905e-01
1.500000000000000000e+01,1.276903450489044189e-01
1.600000000000000000e+01,1.334210038185119629e-01
1.700000000000000000e+01,1.387667208909988403e-01
1.800000000000000000e+01,1.438541263341903687e-01
1.900000000000000000e+01,1.487798094749450684e-01
2.000000000000000000e+01,1.536279618740081787e-01
2.100000000000000000e+01,1.584469079971313477e-01
2.200000000000000000e+01,1.632487028837203979e-01
2.300000000000000000e+01,1.680474132299423218e-01
2.400000000000000000e+01,1.728604584932327271e-01
2.500000000000000000e+01,1.777063012123107910e-01
2.600000000000000000e+01,1.826069056987762451e-01
2.700000000000000000e+01,1.875498145818710327e-01
2.800000000000000000e+01,1.925337761640548706e-01
2.900000000000000000e+01,1.975822001695632935e-01
3.000000000000000000e+01,2.026849985122680664e-01
3.100000000000000000e+01,2.078369855880737305e-01
3.200000000000000000e+01,2.130569666624069214e-01
3.300000000000000000e+01,2.183602750301361084e-01
3.400000000000000000e+01,2.237496823072433472e-01
3.500000000000000000e+01,2.292185425758361816e-01
3.600000000000000000e+01,2.347715497016906738e-01
3.700000000000000000e+01,2.404310405254364014e-01
3.800000000000000000e+01,2.462082505226135254e-01
3.900000000000000000e+01,2.520982325077056885e-01
4.000000000000000000e+01,2.581099867820739746e-01
4.100000000000000000e+01,2.642543613910675049e-01
4.200000000000000000e+01,2.705436348915100098e-01
4.300000000000000000e+01,2.769830524921417236e-01
4.400000000000000000e+01,2.835561931133270264e-01
4.500000000000000000e+01,2.902752161026000977e-01
4.600000000000000000e+01,2.971295714378356934e-01
4.700000000000000000e+01,3.040769398212432861e-01
4.800000000000000000e+01,3.111112713813781738e-01
4.900000000000000000e+01,3.182275593280792236e-01
5.000000000000000000e+01,3.254075348377227783e-01
5.100000000000000000e+01,3.326340615749359131e-01
5.200000000000000000e+01,3.399157226085662842e-01
5.300000000000000000e+01,3.472459912300109863e-01
5.400000000000000000e+01,3.546031117439270020e-01
5.500000000000000000e+01,3.619561195373535156e-01
5.600000000000000000e+01,3.692904412746429443e-01
5.700000000000000000e+01,3.766342997550964355e-01
5.800000000000000000e+01,3.839567601680755615e-01
5.900000000000000000e+01,3.912335634231567383e-01
6.000000000000000000e+01,3.984808623790740967e-01
6.100000000000000000e+01,4.056564271450042725e-01
6.200000000000000000e+01,4.127258360385894775e-01
6.300000000000000000e+01,4.196964502334594727e-01
6.400000000000000000e+01,4.265827834606170654e-01
6.500000000000000000e+01,4.333865046501159668e-01
6.600000000000000000e+01,4.400725662708282471e-01
6.700000000000000000e+01,4.466158747673034668e-01
6.800000000000000000e+01,4.530094563961029053e-01
6.900000000000000000e+01,4.592158496379852295e-01
7.000000000000000000e+01,4.652415513992309570e-01
7.100000000000000000e+01,4.711643457412719727e-01
7.200000000000000000e+01,4.769651293754577637e-01
7.300000000000000000e+01,4.826044440269470215e-01
7.400000000000000000e+01,4.881013631820678711e-01
7.500000000000000000e+01,4.934648573398590088e-01
7.600000000000000000e+01,4.986532926559448242e-01
7.700000000000000000e+01,5.036369562149047852e-01
7.800000000000000000e+01,5.084350109100341797e-01
7.900000000000000000e+01,5.130420327186584473e-01
8.000000000000000000e+01,5.174674987792968750e-01
8.100000000000000000e+01,5.217292904853820801e-01
8.200000000000000000e+01,5.258224010467529297e-01
8.300000000000000000e+01,5.297490954399108887e-01
8.400000000000000000e+01,5.334919095039367676e-01
8.500000000000000000e+01,5.370844602584838867e-01
8.600000000000000000e+01,5.405600070953369141e-01
8.700000000000000000e+01,5.438973903656005859e-01
8.800000000000000000e+01,5.470880866050720215e-01
8.900000000000000000e+01,5.501298904418945312e-01
9.000000000000000000e+01,5.530210137367248535e-01
9.100000000000000000e+01,5.557622313499450684e-01
9.200000000000000000e+01,5.583637952804565430e-01
9.300000000000000000e+01,5.608586072921752930e-01
9.400000000000000000e+01,5.632190704345703125e-01
9.500000000000000000e+01,5.654231309890747070e-01
9.600000000000000000e+01,5.675246119499206543e-01
9.700000000000000000e+01,5.695227384567260742e-01
9.800000000000000000e+01,5.713872313499450684e-01
9.900000000000000000e+01,5.731195211410522461e-01
1.000000000000000000e+02,5.747325420379638672e-01
1.010000000000000000e+02,5.762194991111755371e-01
1.020000000000000000e+02,5.775843858718872070e-01
1.030000000000000000e+02,5.788546204566955566e-01
1.040000000000000000e+02,5.800619125366210938e-01
1.050000000000000000e+02,5.812177658081054688e-01
1.060000000000000000e+02,5.822629332542419434e-01
1.070000000000000000e+02,5.831853747367858887e-01
1.080000000000000000e+02,5.840066075325012207e-01
1.090000000000000000e+02,5.846867561340332031e-01
1.100000000000000000e+02,5.852537751197814941e-01
