time,v
0.000000000000000000e+00,-8.725258636474609375e+01
1.000000000000000000e+00,-8.732413482666015625e+01
2.000000000000000000e+00,-8.738217163085937500e+01
3.000000000000000000e+00,-8.742914581298828125e+01
4.000000000000000000e+00,-8.746703338623046875e+01
5.000000000000000000e+00,-8.749751281738281250e+01
6.000000000000000000e+00,-8.752194976806640625e+01
7.000000000000000000e+00,-8.754147338867187500e+01
8.000000000000000000e+00,-8.755701446533203125e+01
9.000000000000000000e+00,-8.756933593750000000e+01
1.000000000000000000e+01,-8.717903137207031250e+01
1.100000000000000000e+01,-4.704818344116210938e+01
1.200000000000000000e+01,5.968943786621093750e+01
1.300000000000000000e+01,5.016992187500000000e+01
1.400000000000000000e+01,3.895657730102539062e+01
1.500000000000000000e+01,2.870342063903808594e+01
1.600000000000000000e+01,2.034659957885742188e+01
1.700000000000000000e+01,1.430793571472167969e+01
1.800000000000000000e+01,9.936345100402832031e+00
1.900000000000000000e+01,6.906368732452392578e+00
2.000000000000000000e+01,4.983386039733886719e+00
2.100000000000000000e+01,3.445158720016479492e+00
2.200000000000000000e+01,2.169585466384887695e+00
2.300000000000000000e+01,1.234354019165039062e+00
2.400000000000000000e+01,5.463306307792663574e-01
2.500000000000000000e+01,1.635101437568664551e-01
2.600000000000000000e+01,2.567012980580329895e-02
2.700000000000000000e+01,-4.138204455375671387e-01
2.800000000000000000e+01,-4.212772250175476074e-01
2.900000000000000000e+01,-3.761627376079559326e-01
3.000000000000000000e+01,-4.427144825458526611e-01
3.100000000000000000e+01,-3.722346425056457520e-01
3.200000000000000000e+01,-8.198397606611251831e-02
3.300000000000000000e+01,2.699730396270751953e-01
3.400000000000000000e+01,6.517949104309082031e-01
3.500000000000000000e+01,9.621831178665161133e-01
3.600000000000000000e+01,1.453199744224548340e+00
3.700000000000000000e+01,2.076058864593505859e+00
3.800000000000000000e+01,2.727647781372070312e+00
3.900000000000000000e+01,3.309628486633300781e+00
4.000000000000000000e+01,4.090487480163574219e+00
4.100000000000000000e+01,4.802902221679687500e+00
4.200000000000000000e+01,5.714784145355224609e+00
4.300000000000000000e+01,6.485118865966796875e+00
4.400000000000000000e+01,7.245392799377441406e+00
4.500000000000000000e+01,8.146556854248046875e+00
4.600000000000000000e+01,8.824389457702636719e+00
4.700000000000000000e+01,9.379915237426757812e+00
4.800000000000000000e+01,1.003096580505371094e+01
4.900000000000000000e+01,1.057939052581787109e+01
5.000000000000000000e+01,1.112037944793701172e+01
5.100000000000000000e+01,1.157747364044189453e+01
5.200000000000000000e+01,1.223484706878662109e+01
5.300000000000000000e+01,1.267764568328857422e+01
5.400000000000000000e+01,1.320961284637451172e+01
5.500000000000000000e+01,1.347254753112792969e+01
5.600000000000000000e+01,1.394914054870605469e+01
5.700000000000000000e+01,1.445364379882812500e+01
5.800000000000000000e+01,1.475455093383789062e+01
5.900000000000000000e+01,1.513354682922363281e+01
6.000000000000000000e+01,1.557616519927978516e+01
6.100000000000000000e+01,1.572066593170166016e+01
6.200000000000000000e+01,1.598337554931640625e+01
6.300000000000000000e+01,1.620063972473144531e+01
6.400000000000000000e+01,1.657508277893066406e+01
6.500000000000000000e+01,1.682325935363769531e+01
6.600000000000000000e+01,1.701341247558593750e+01
6.700000000000000000e+01,1.713399124145507812e+01
6.800000000000000000e+01,1.729822540283203125e+01
6.900000000000000000e+01,1.721425819396972656e+01
7.000000000000000000e+01,1.741841506958007812e+01
7.100000000000000000e+01,1.775840759277343750e+01
7.200000000000000000e+01,1.786124229431152344e+01
7.300000000000000000e+01,1.799180412292480469e+01
7.400000000000000000e+01,1.818927764892578125e+01
7.500000000000000000e+01,1.835673332214355469e+01
7.600000000000000000e+01,1.833207321166992188e+01
7.700000000000000000e+01,1.833735466003417969e+01
7.800000000000000000e+01,1.839061164855957031e+01
7.900000000000000000e+01,1.834849357604980469e+01
8.000000000000000000e+01,1.842446899414062500e+01
8.100000000000000000e+01,1.844994544982910156e+01
8.200000000000000000e+01,1.847948646545410156e+01
8.300000000000000000e+01,1.849313926696777344e+01
8.400000000000000000e+01,1.841615676879882812e+01
8.500000000000000000e+01,1.856177711486816406e+01
8.600000000000000000e+01,1.862178611755371094e+01
8.700000000000000000e+01,1.864777565002441406e+01
8.800000000000000000e+01,1.864448356628417969e+01
8.900000000000000000e+01,1.863635826110839844e+01
9.000000000000000000e+01,1.859899520874023438e+01
9.100000000000000000e+01,1.856702995300292969e+01
9.200000000000000000e+01,1.854949760437011719e+01
9.300000000000000000e+01,1.864475059509277344e+01
9.400000000000000000e+01,1.847949409484863281e+01
9.500000000000000000e+01,1.844884681701660156e+01
9.600000000000000000e+01,1.849907493591308594e+01
9.700000000000000000e+01,1.844368362426757812e+01
9.800000000000000000e+01,1.833668899536132812e+01
9.900000000000000000e+01,1.825979804992675781e+01
1.000000000000000000e+02,1.818358993530273438e+01
1.010000000000000000e+02,1.805303955078125000e+01
1.020000000000000000e+02,1.796765899658203125e+01
1.030000000000000000e+02,1.793385314941406250e+01
1.040000000000000000e+02,1.797152328491210938e+01
1.050000000000000000e+02,1.797432327270507812e+01
1.060000000000000000e+02,1.773514366149902344e+01
1.070000000000000000e+02,1.766047668457031250e+01
1.080000000000000000e+02,1.748904037475585938e+01
1.090000000000000000e+02,1.721304893493652344e+01
1.100000000000000000e+02,1.713534927368164062e+01
1.110000000000000000e+02,1.699137115478515625e+01
1.120000000000000000e+02,1.676230049133300781e+01
