#{"t_start": 1767749719.4778373, "env_id": "None"}
r,l,t
-39.79439,400,23.399351
76.352758,400,46.58271
79.991367,400,69.72472
82.788055,400,93.057475
80.93205,400,116.257503
81.924298,400,139.57307
80.120722,400,162.739352
80.182857,400,185.850223
82.379197,400,209.036489
81.261127,400,232.055943
79.920916,400,255.240995
80.706352,400,278.858721
82.000734,400,302.146879
78.589587,400,325.442125
81.533154,400,348.830653
79.969845,400,372.346147
79.832696,400,395.762299
82.012881,400,419.299789
79.658951,400,442.826879
81.519192,400,466.325159
80.527077,400,489.81281
80.715602,400,513.068132
80.879467,400,536.314276
81.482231,400,559.745394
81.020082,400,583.249075
81.427589,400,606.570962
81.991526,400,630.011388
79.457307,400,653.287884
